server_id,server_type,location,cpu_cores,memory_gb,storage_tb,power_rating_watts,efficiency_rating,cooling_requirement,age_years
SRV-001,CPU-Intensive,US-East,32,64,2,342,0.88,151.5,2
SRV-002,Storage-Intensive,US-East,8,32,2,438,0.83,53.98,4
SRV-003,Storage-Intensive,US-West,64,128,1,363,0.87,101.04,3
SRV-004,GPU-Intensive,EU-Central,8,32,8,299,0.79,101.59,5
SRV-005,CPU-Intensive,Asia-Pacific,8,256,1,765,0.77,144.3,6
SRV-006,GPU-Intensive,US-East,8,64,4,281,0.91,179.97,7
SRV-007,Memory-Intensive,Asia-Pacific,32,64,4,563,0.75,90.05,2
SRV-008,GPU-Intensive,US-West,16,256,8,476,0.95,146.0,4
SRV-009,Memory-Intensive,US-East,16,32,4,610,0.77,81.65,6
SRV-010,GPU-Intensive,Asia-Pacific,64,256,2,471,0.73,161.75,5
SRV-011,Storage-Intensive,Asia-Pacific,32,64,2,721,0.82,163.37,2
SRV-012,GPU-Intensive,US-West,64,32,8,590,0.85,120.21,5
SRV-013,CPU-Intensive,US-East,32,128,1,500,0.81,118.06,5
SRV-014,GPU-Intensive,US-East,32,64,2,582,0.89,130.91,1
SRV-015,Memory-Intensive,Asia-Pacific,8,32,4,514,0.76,86.13,2
SRV-016,CPU-Intensive,Asia-Pacific,8,64,2,686,0.94,74.77,7
SRV-017,GPU-Intensive,US-West,32,256,4,648,0.92,117.72,4
SRV-018,GPU-Intensive,US-East,32,32,2,425,0.7,156.18,1
SRV-019,GPU-Intensive,US-East,8,128,1,726,0.76,150.35,4
SRV-020,GPU-Intensive,Asia-Pacific,16,256,8,394,0.72,148.85,6
SRV-021,Storage-Intensive,Asia-Pacific,64,32,1,262,0.8,100.9,2
SRV-022,GPU-Intensive,US-West,16,256,2,632,0.75,119.39,2
SRV-023,Storage-Intensive,US-East,8,32,1,442,0.74,122.85,4
SRV-024,Storage-Intensive,US-East,16,256,1,599,0.77,167.61,8
SRV-025,Memory-Intensive,Asia-Pacific,64,64,2,503,0.75,58.77,1
SRV-026,Memory-Intensive,US-East,8,256,2,258,0.94,62.02,3
SRV-027,CPU-Intensive,US-East,16,256,1,783,0.76,139.18,2
SRV-028,Storage-Intensive,EU-Central,32,64,4,444,0.77,69.63,5
SRV-029,Storage-Intensive,EU-Central,8,32,8,776,0.95,60.99,4
SRV-030,Memory-Intensive,US-West,32,32,2,578,0.77,115.73,5
SRV-031,CPU-Intensive,EU-Central,8,64,4,318,0.92,161.36,3
SRV-032,Memory-Intensive,EU-Central,16,128,2,470,0.83,87.67,1
SRV-033,CPU-Intensive,Asia-Pacific,32,32,1,541,0.89,145.57,5
SRV-034,GPU-Intensive,Asia-Pacific,64,32,1,277,0.94,153.65,3
SRV-035,CPU-Intensive,EU-Central,16,256,2,242,0.78,184.85,1
SRV-036,Memory-Intensive,US-West,16,32,4,773,0.92,110.96,3
SRV-037,GPU-Intensive,US-West,16,256,1,383,0.88,99.83,7
SRV-038,GPU-Intensive,EU-Central,16,32,8,239,0.91,83.37,8
SRV-039,Memory-Intensive,EU-Central,16,64,1,397,0.8,91.79,2
SRV-040,Memory-Intensive,EU-Central,64,128,1,318,0.92,89.18,5
SRV-041,CPU-Intensive,US-East,64,128,4,646,0.85,126.71,7
SRV-042,GPU-Intensive,EU-Central,8,256,1,732,0.93,130.77,4
SRV-043,Memory-Intensive,Asia-Pacific,8,128,4,327,0.88,95.05,5
SRV-044,Storage-Intensive,EU-Central,64,128,2,396,0.81,191.05,3
SRV-045,Memory-Intensive,Asia-Pacific,8,128,4,415,0.81,137.0,6
SRV-046,Storage-Intensive,Asia-Pacific,64,64,8,373,0.86,92.57,6
SRV-047,CPU-Intensive,US-West,32,64,2,350,0.71,86.73,8
SRV-048,CPU-Intensive,Asia-Pacific,64,64,8,706,0.8,72.14,1
SRV-049,CPU-Intensive,Asia-Pacific,16,64,8,251,0.84,187.62,2
SRV-050,Storage-Intensive,US-West,64,128,8,716,0.81,186.03,8
SRV-051,GPU-Intensive,Asia-Pacific,64,128,2,483,0.89,128.19,4
SRV-052,Memory-Intensive,Asia-Pacific,8,128,2,478,0.78,183.95,2
SRV-053,GPU-Intensive,US-West,16,256,2,419,0.72,111.14,8
SRV-054,Storage-Intensive,US-East,16,256,8,798,0.94,52.93,7
SRV-055,Storage-Intensive,US-East,32,128,8,629,0.83,160.2,4
SRV-056,Storage-Intensive,US-West,32,256,8,229,0.8,150.33,7
SRV-057,GPU-Intensive,Asia-Pacific,16,32,8,777,0.87,62.59,7
SRV-058,GPU-Intensive,Asia-Pacific,16,32,4,588,0.78,118.2,6
SRV-059,Storage-Intensive,EU-Central,64,128,1,681,0.7,130.91,6
SRV-060,GPU-Intensive,US-East,8,32,2,404,0.91,143.2,4
SRV-061,GPU-Intensive,Asia-Pacific,8,64,8,462,0.89,75.17,2
SRV-062,GPU-Intensive,EU-Central,8,32,4,789,0.87,193.73,7
SRV-063,GPU-Intensive,US-East,16,32,4,323,0.9,134.89,1
SRV-064,Memory-Intensive,Asia-Pacific,32,32,4,212,0.91,173.35,2
SRV-065,Storage-Intensive,EU-Central,64,64,8,380,0.88,194.82,5
SRV-066,Storage-Intensive,Asia-Pacific,64,128,4,451,0.91,63.0,8
SRV-067,GPU-Intensive,Asia-Pacific,64,128,1,706,0.91,77.28,4
SRV-068,Memory-Intensive,EU-Central,32,128,4,769,0.7,192.21,2
SRV-069,GPU-Intensive,Asia-Pacific,64,64,8,702,0.81,52.59,5
SRV-070,GPU-Intensive,Asia-Pacific,16,128,4,684,0.84,101.56,6
SRV-071,Memory-Intensive,Asia-Pacific,32,128,4,436,0.73,78.89,2
SRV-072,GPU-Intensive,US-West,16,256,4,737,0.85,197.08,4
SRV-073,Memory-Intensive,US-West,32,64,4,214,0.88,68.99,1
SRV-074,CPU-Intensive,EU-Central,16,256,1,212,0.84,120.41,8
SRV-075,Memory-Intensive,US-West,8,128,8,316,0.91,110.11,2
SRV-076,CPU-Intensive,US-West,16,128,1,454,0.73,164.67,4
SRV-077,Storage-Intensive,Asia-Pacific,64,128,8,512,0.84,59.03,2
SRV-078,GPU-Intensive,US-West,32,32,2,445,0.74,61.26,1
SRV-079,Storage-Intensive,Asia-Pacific,64,128,1,437,0.77,92.41,8
SRV-080,CPU-Intensive,US-West,32,64,8,317,0.84,147.15,5
SRV-081,GPU-Intensive,US-East,8,64,4,782,0.93,115.87,8
SRV-082,Memory-Intensive,Asia-Pacific,32,256,8,282,0.85,183.41,6
SRV-083,Memory-Intensive,US-East,8,64,1,475,0.84,164.47,3
SRV-084,Storage-Intensive,Asia-Pacific,32,64,8,703,0.94,120.5,7
SRV-085,Memory-Intensive,EU-Central,8,64,4,621,0.87,93.23,7
SRV-086,CPU-Intensive,Asia-Pacific,8,128,4,531,0.73,165.88,1
SRV-087,Storage-Intensive,Asia-Pacific,8,64,4,710,0.86,164.0,4
SRV-088,Memory-Intensive,US-West,32,256,8,324,0.71,144.5,4
SRV-089,GPU-Intensive,EU-Central,8,256,1,430,0.95,186.94,8
SRV-090,CPU-Intensive,US-West,64,128,4,625,0.91,197.04,4
SRV-091,Storage-Intensive,US-West,64,64,2,271,0.77,168.5,7
SRV-092,Memory-Intensive,EU-Central,8,128,4,793,0.95,123.45,3
SRV-093,Storage-Intensive,Asia-Pacific,32,128,8,666,0.93,180.44,4
SRV-094,Storage-Intensive,US-West,64,32,4,684,0.88,171.71,7
SRV-095,GPU-Intensive,Asia-Pacific,8,64,4,302,0.92,116.05,8
SRV-096,CPU-Intensive,US-West,64,64,1,680,0.9,89.75,7
SRV-097,CPU-Intensive,EU-Central,64,128,8,754,0.71,60.26,5
SRV-098,GPU-Intensive,US-East,64,32,1,654,0.74,94.92,1
SRV-099,CPU-Intensive,EU-Central,8,128,4,583,0.81,86.63,7
SRV-100,GPU-Intensive,US-West,16,32,8,446,0.82,137.47,4
